cbeNameIndex,name
0,M1911A1
1,M1917 S&W
2,M1917 Colt
3,OSS
4,AN-M8
5,M1903A1
6,M1903A4
7,M1918A2 BAR
8,M1 Rifle
9,M1C Rifle
10,M1D Rifle
11,M1941 Rifle
12,M1 Cbn
13,M1A1 Cbn
14,M2 Cbn
15,M1928A1 SMG
16,M1 SMG
17,M1A1 SMG
18,M3 SMG
19,M3A1 SMG
20,M1919A6 LMG
21,M1941   LMG
22,M1917A1 MMG
23,M1919A4 MMG
24,M2 HB HMG
25,M1 RL
26,M1A1 RL
27,M9 RL
28,E1R1 Fl
29,M1A1 Fl
30,M2A1-7 Fl
31,M2 Tripod
32,M1917 Tripod
33,M3 Tripod
34,M1 Ammobox
35,M2HB Ammobox
36,M3 Binocular
37,SCR536
38,Med Bag
39,Film
40,Map Case
41,C/96
42,C/96M712
43,P08
44,M1934
45,Beholla
46,M38H
47,PP
48,PPK
49,HSc
50,P38
51,27mmLeuP
52,27mmP42
53,27mmKpfP
54,27mmStuP
55,Gew98
56,Kar98b
57,Kar98k
58,Kar98k svw
59,Gew29/40
60,Gew33/40
61,Gew98/40
62,VG-1
63,VG-2
64,VK-98
65,Gew41(W)
66,Gew41(M)
67,Gew43
68,Kar43
69,Zf Kar98k
70,Zf Gew43
71,FG42/1
72,FG42/2
73,MKb42(W)
74,MKb42(H)
75,MP43
76,StG44
77,VG1-5
78,MP28/2
79,MP35/1
80,EMP
81,MP38
82,MP40
83,MP40/2
84,MP41
85,Ger Potsdam
86,MP3008
87,MG08/15
88,MG08/18
89,MG13
90,MG15
91,MG34
92,MG34S
93,MG34/41
94,MG42
95,MG08
96,PzB38
97,PzB39
98,GrB39
99,PzBSS41
100,PzB41
101,PF30mK
102,PF30mG
103,PF60m
104,PF100m
105,RPzB43
106,RPzB54
107,RPzB54/1
108,FmW35
109,FmW40
110,FmW41
111,FmW42
112,Laf34
113,Laf42
114,Sch08
115,PatrK41
116,PatrK15
117,Fernglas
118,Feldfu.b
119,SaniTo34
120,Mkt35
121,Bodeo mod89
122,Glisenti m10
123,Beretta m34
124,F. mod91
125,M. mod91
126,M. mod91/TS
127,F. mod38
128,M. mod38
129,M. mod38/TS
130,F. mod38
131,M. mod38
132,M. mod38/TS
133,MAB mod38A
134,MAB mod38/42
135,Breda mod30
136,FR mod14
137,FR mod14/35
138,Breda mod37
139,T. FR mod14
140,T. Breda m37
141,CM. FR 14/35
142,Binocolo
143,Lebel 92
144,Unique Mle17
145,Mle1935A
146,Mle1935S
147,F. Mle86/93
148,M. Mle92/27
149,F. Mle07/15
150,F. Mle16
151,M. Mle16/27
152,F. MAS36
153,F. MAS36CR39
154,MAS38
155,MAC24/29
156,Mle1914
157,T. Mle1914
158,Jumelles
159,No1 Mk4
160,No2 Mk2
161,No2 Mk1*
162,No2 Mk1**
163,Webley Mk4
164,S&W No2
165,Very
166,No1 Mk3
167,No1 Mk3*
168,No4 Mk1
169,No4 Mk1*
170,No4 Mk1(T)
171,No3 Mk1*(T)
172,Sten Mk2
173,Sten Mk3
174,Sten Mk5
175,Lewis Mk1
176,Bren Mk1
177,Bren Mk2
178,Bren Mk3
179,Vickers Mk1
180,Boys Mk1
181,PIAT
182,No1 Mk1
183,Tripod Mk2
184,Tripod Mk4
185,No8 Mk1
186,Binocular
187,Note
188,obr1895g
189,TT33
190,obr1891/30g
191,obr1938g
192,obr91/30g-PU
193,obr1944g
194,SVT40
195,PPD40
196,PPSh41
197,PPS43
198,DP
199,PM1910
200,DShK
201,pat.1910
202,pat.DShK
203,SP M12
204,MP34(o)
205,M30
206,M07/12
207,M07 Laf
208,M07 PatrK
209,Mle1903
210,Mle10/22
211,GP35
212,CZ vz24
213,CZ vz27
214,CZ vz38
215,ZK383
216,lk ZB vz26
217,tk ZB vz37
218,ZB206
219,ZB308
220,VIS wz35
221,wz35
222,Astra400
223,Astra903
224,S-18/100
225,45ACP-7
226,45ACP-3
227,45ACP-1
228,AN-M8-1
229,3006-5
230,3006-20B
231,3006-8
232,30Cbn-15
233,30Cbn-30
234,45ACP20T
235,45ACP30T
236,45ACP50T
237,45ACP30G
238,3006-20J
239,3006-200
240,3006-250
241,50M2-110
242,M6A1 HR
243,M6A5 HR
244,M9A1 RfG
245,Mk2 GPA
246,Mk2 Grd
247,Mk3A1Grd
248,M1 CDB
249,WP M15
250,M1905Byt
251,John Byt
252,M4 Byt
253,Mk1 TKnf
254,M3 T.Knf
255,7.63-10c
256,7.63-10b
257,7.63-20b
258,9Pb-8L
259,32ACP-8M
260,32ACP-7B
261,32ACP-8S
262,32ACP-8W
263,32ACP-7W
264,32ACP-8H
265,9Pb-8W
266,FLeut41
