cbeNameIndex,name,category_code,category_name,effect_mode_hex,raw_u4_plus08,raw_u5_plus10_decay,raw_u6_plus12,raw_u7_plus14,resolved_initial_penetration,resolved_source,hit_rate,hit_decay_per_hex,malfunction_rate,malfunction_modifier,profiles,linked_cbe_indices,record_offset
4,AN-M8,3,smoke_grenade,0x0000,0,0,0,0,0,,0,0,2,0,,228,0x1DE000
25,M1 RL,10,rocket_launcher,0x0000,0,0,150,120,150,u6/+12,60,20,5,0,成形炸薬・特殊効果=150 decay=0 (u6/+12) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),242,0x1DE540
26,M1A1 RL,10,rocket_launcher,0x0000,0,0,150,120,150,u6/+12,60,20,4,0,成形炸薬・特殊効果=150 decay=0 (u6/+12) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),242,0x1DE580
27,M9 RL,10,rocket_launcher,0x0000,0,0,150,120,150,u6/+12,70,20,2,0,成形炸薬・特殊効果=150 decay=0 (u6/+12) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),"243,242",0x1DE5C0
28,E1R1 Fl,9,flamethrower,0x400B,0,0,125,150,0,,77,32,6,0,火炎直撃=125 decay=0 (u6/+12) | 火炎範囲=150 decay=0 (u7/+14),,0x1DE600
29,M1A1 Fl,9,flamethrower,0x400B,0,0,125,150,0,,95,32,6,0,火炎直撃=125 decay=0 (u6/+12) | 火炎範囲=150 decay=0 (u7/+14),,0x1DE640
30,M2A1-7 Fl,9,flamethrower,0x400B,0,0,125,150,0,,86,32,3,0,火炎直撃=125 decay=0 (u6/+12) | 火炎範囲=150 decay=0 (u7/+14),,0x1DE680
51,27mmLeuP,3,smoke_grenade,0x0000,0,0,0,0,0,,70,0,1,0,,"266,267,268",0x1DEBC0
52,27mmP42,3,smoke_grenade,0x0000,0,0,0,0,0,,70,0,1,0,,"266,267,268",0x1DEC00
53,27mmKpfP,2,grenade_launcher_ammo,0x0000,0,0,0,0,0,,80,0,2,0,,"270,269",0x1DEC40
54,27mmStuP,2,grenade_launcher_ammo,0x0000,0,0,0,0,0,,85,0,3,0,,"271,268,267",0x1DEC80
