wpns_code,cbeNameIndex,plCategory,statTemplate,name,type,rng,acc,dmg,cap,mag,ap,rld,wgt,plAmmoLabel,acceptsAmmoPlIndices
pl_0,0,pistol,m1911,M1911A1,bullet,3,70,30,7,3,2,1,1,45ACP-7 (単列),[225]
pl_1,1,pistol,m1911,M1917 S&W,bullet,3,70,30,7,3,2,1,1,45ACP-3 ハーフムーンクリップ,[226]
pl_2,2,pistol,m1911,M1917 Colt,bullet,3,70,30,7,3,2,1,1,45ACP-3 ハーフムーンクリップ,[226]
pl_3,3,gear,part_gear,OSS,part,,,,,,,,,AN-M8-1,[228]
pl_4,4,grenade,nade,AN-M8,shell,4,60,80,1,2,2,0,1,AN-M8-1 発煙弾/同梱弾数,[228]
pl_5,5,rifle,m1,M1903A1,bullet,7,85,76,8,6,2,1,4,3006-20B,[230]
pl_6,6,sniper,k98_scope,M1903A4,bullet,9,95,72,5,5,2,2,5,03 系: クリップ 3006-5/8 + ボール 3006-20B 等,"[229, 230, 231]"
pl_7,7,auto_rifle,bar,M1918A2 BAR,bullet,7,55,45,20,5,2,2,9,3006-20B ボール,[230]
pl_8,8,rifle,m1,M1 Rifle,bullet,7,85,76,8,6,2,1,4,M1 ガランド 8連: 3006-5 / 3006-8（未実機最終の行は JSON 更新で差し替え可）,"[229, 231]"
pl_9,9,rifle,m1,M1C Rifle,bullet,7,85,76,8,6,2,1,4,30Cbn-15,[232]
pl_10,10,rifle,m1,M1D Rifle,bullet,7,85,76,8,6,2,1,4,30Cbn-15,[232]
pl_11,11,rifle,m1,M1941 Rifle,bullet,7,85,76,8,6,2,1,4,3006-20B,[230]
pl_12,12,carbine,m1,M1 Cbn,bullet,7,85,76,8,6,2,1,4,30Cbn-30 / 45ACP20T,"[233, 234]"
pl_13,13,carbine,m1,M1A1 Cbn,bullet,7,85,76,8,6,2,1,4,30Cbn-30 / 45ACP20T,"[233, 234]"
pl_14,14,carbine,m1,M2 Cbn,bullet,7,85,76,8,6,2,1,4,45ACP20T / 30Cbn-30,"[234, 233]"
pl_15,15,smg,smg_45,M1928A1 SMG,bullet,5,60,41,30,4,2,1,5,45ACP30T / 45ACP50T / 45ACP30G,"[235, 236, 237]"
pl_16,16,smg,smg_45,M1 SMG,bullet,5,60,41,30,4,2,1,5,45ACP30T / 45ACP50T,"[235, 236]"
